title,"count TW","count total",key,publisher,url
"Collection Echinodermata - ZMB",1,665,7b85cff6-f762-11e1-a439-00145eb45e9a,Senckenberg,https://www.gbif.org/dataset/7b85cff6-f762-11e1-a439-00145eb45e9a
"(Appendix B) Benthic foraminifera extinction group polpulation of ODP Hole 184-1146A",661,661,4fe0abdc-688d-4088-a6ba-d345595f62d9,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/4fe0abdc-688d-4088-a6ba-d345595f62d9
"(Appendix A2) Distribution of benthic foraminifera in ODP Site 184-1146",609,609,7d675880-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/7d675880-f762-11e1-a439-00145eb45e9a
"(Table 2) Raw counts of planktonic foraminiferal species and varieties from the sediment surface samples from the South China Sea",202,592,6621796c-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/6621796c-f762-11e1-a439-00145eb45e9a
"(Table 3) Percentages of planktonic foraminiferal species and varieties from the sediment surface samples from the South China Sea",198,587,8708f7d6-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/8708f7d6-f762-11e1-a439-00145eb45e9a
"Life Science National Tsing Hua University",495,495,85bc2470-98a1-11de-b4da-b8a03c50a862,TELDAP,https://www.gbif.org/dataset/85bc2470-98a1-11de-b4da-b8a03c50a862
"National Taiwan Ocean University",485,485,1597d710-98a2-11de-b4da-b8a03c50a862,TELDAP,https://www.gbif.org/dataset/1597d710-98a2-11de-b4da-b8a03c50a862
"Type Collection of the Seto Marine Biological Laboratory, Kyoto University",7,418,5318e238-18f5-11e2-98fb-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/5318e238-18f5-11e2-98fb-00145eb45e9a
"ZFMK Phthiraptera collection",2,375,01fdde0a-a371-45b6-a6a2-5656d57e3280,"Zoologisches Forschungsinstitut und Museum Alexander Koenig",https://www.gbif.org/dataset/01fdde0a-a371-45b6-a6a2-5656d57e3280
"Collection Cnidaria - ZMB",1,343,7b83940c-f762-11e1-a439-00145eb45e9a,Senckenberg,https://www.gbif.org/dataset/7b83940c-f762-11e1-a439-00145eb45e9a
"Administración Nacional de Institutos y Laboratorios de Salud",1,331,85814728-1453-4d63-8c03-40739a4ea684,"Administración Nacional de Institutos y Laboratorios de Salud",https://www.gbif.org/dataset/85814728-1453-4d63-8c03-40739a4ea684
"Planktic foraminifera distribution of sediment core GIK17940-2",188,188,86f09c5e-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/86f09c5e-f762-11e1-a439-00145eb45e9a
"Fish specimens of Okinawa Prefectural Museum & Art Museum",3,167,a4f3eba8-d023-4762-88f8-fcc6e81ce74d,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/a4f3eba8-d023-4762-88f8-fcc6e81ce74d
"Molluscan fauna of Gueishan Island of Taiwan",151,151,3586d3f4-5178-46aa-be2d-77036191e2ae,"Taiwan Biodiversity Information Facility (TaiBIF)",https://www.gbif.org/dataset/3586d3f4-5178-46aa-be2d-77036191e2ae
"Other Arachnida collection of National Museum of Nature and Science",5,148,a799fd82-0b29-44d9-92e0-9fd71abd9d2a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/a799fd82-0b29-44d9-92e0-9fd71abd9d2a
"Mammal specimens of Ryukyu University Museum (Fujukan)",1,140,667455a8-428b-408c-8398-1f21522ff890,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/667455a8-428b-408c-8398-1f21522ff890
"Mammal specimens of Okinawa Prefectural Museum & Art Museum",1,131,196d4689-8cfc-40e3-adf8-0e9b35c513c1,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/196d4689-8cfc-40e3-adf8-0e9b35c513c1
"(Table T1) Abundance of dinoflagellate cysts and other palynomorphs in ODP Hole 184-1148A",127,127,3db3b303-78b8-4cbd-8346-503c6f57045a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/3db3b303-78b8-4cbd-8346-503c6f57045a
"Mammalians Specimens of Akita Prefectural Museum",1,115,8104afec-f762-11e1-a439-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/8104afec-f762-11e1-a439-00145eb45e9a
pandalidae-tychan-most,104,104,eeba8c4c-f059-4c3a-8f5c-38f1e8622bbb,"Taiwan Biodiversity Information Facility (TaiBIF)",https://www.gbif.org/dataset/eeba8c4c-f059-4c3a-8f5c-38f1e8622bbb
"Archaea Collection in BCRC",35,65,c93e0fd0-46a4-48e7-bf68-fc52e2b5f2e9,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/c93e0fd0-46a4-48e7-bf68-fc52e2b5f2e9
"Archaea Collection in BCRC",33,63,2f541ef0-4453-11de-87a1-b8a03c50a862,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/2f541ef0-4453-11de-87a1-b8a03c50a862
